SUBJECT TRIAL TARGET CONTEXT ROW REP FOUNDRT OKSE
3 1 1 2 12 1 5239 1
3 2 2 1 2 1 1933 1
3 3 1 2 3 1 9080 1
3 4 2 2 2 1 1977 1
3 5 1 2 18 1 8363 1
3 6 2 2 20 2 10355 1
3 7 2 1 7 1 3284 1
3 8 1 2 14 2 4379 1
3 9 2 1 5 2 1707 1
3 10 2 2 18 2 9540 1
3 11 2 1 9 2 8713 1
3 12 1 2 11 1 3815 1
3 13 2 1 12 1 4184 1
3 14 1 2 8 1 3199 1
3 15 2 1 17 2 4140 1
3 16 2 2 3 1 1611 1
3 17 1 2 13 1 3131 1
3 18 1 2 6 1 1994 1
3 19 2 1 6 1 2156 1
3 20 2 1 17 1 5690 1
3 21 1 2 17 1 3536 1
3 22 1 2 14 1 3014 1
3 23 2 2 5 2 12841 1
3 24 1 1 13 1 5416 1
3 25 1 2 5 1 1933 1
3 26 1 1 20 1 5013 1
3 27 2 1 19 1 7590 1
3 28 1 1 19 1 14425 1
3 29 2 2 4 1 2016 1
3 30 1 1 1 2 4148 1
3 31 2 2 1 1 1244 1
3 32 1 2 19 1 6903 1
3 33 2 1 12 2 5736 1
3 34 1 2 3 2 6045 1
3 35 2 1 8 1 2741 1
3 36 1 2 1 1 6589 1
3 37 1 2 4 2 6946 1
3 38 1 2 11 2 4828 1
3 39 1 2 19 2 5639 1
3 40 2 2 9 1 3518 1
3 41 2 1 15 1 4148 1
3 42 1 1 8 2 6914 1
3 43 2 2 13 2 3058 1
3 44 2 1 14 2 2358 1
3 45 2 2 2 2 2130 1
3 46 1 1 3 1 1657 1
3 47 1 2 16 2 17736 1
3 48 2 1 20 2 4102 1
3 49 2 2 14 1 4189 1
3 50 2 1 15 2 3515 1
3 51 2 2 15 1 5640 1
3 52 1 1 19 2 6410 1
3 53 1 1 15 2 5374 1
3 54 1 2 12 2 3288 1
3 55 1 1 6 2 5732 1
3 56 1 1 2 1 2161 1
3 57 2 2 17 1 5411 1
3 58 1 1 9 1 2975 1
3 59 2 1 2 2 5690 1
3 60 1 1 5 1 2928 1
3 61 2 1 4 1 1705 1
3 62 1 2 2 1 10842 1
3 63 1 1 10 2 8364 1
3 64 1 2 16 1 3873 1
3 65 2 1 7 2 3111 1
3 66 2 1 16 1 2879 1
3 67 1 1 10 1 3192 1
3 68 2 2 12 1 4149 1
3 69 2 2 7 1 7319 1
3 70 2 2 8 2 1796 1
3 71 2 2 17 2 5867 1
3 72 2 1 9 1 3923 1
3 73 2 1 1 1 4329 1
3 74 2 2 20 1 5454 1
3 75 1 1 20 2 6405 1
3 76 1 1 1 1 1560 1
3 77 2 1 11 1 3235 1
3 78 1 1 7 2 8445 1
3 79 1 2 15 2 5502 1
3 80 1 1 12 1 7360 1
3 81 2 2 5 1 4648 1
3 82 2 1 18 1 3899 1
3 83 1 2 17 2 4238 1
3 84 2 1 10 1 2609 1
3 85 2 2 18 1 4901 1
3 86 2 2 10 1 7900 1
3 87 2 2 9 2 2066 1
3 88 2 2 19 2 9175 1
3 89 1 2 9 2 3425 1
3 90 1 1 6 1 13252 1
3 91 2 2 12 2 5415 1
3 92 2 1 13 2 6819 1
3 93 2 2 10 2 4737 1
3 94 2 2 8 1 3111 1
3 95 1 1 4 1 4328 1
3 96 1 2 8 2 2240 1
3 97 1 2 5 2 1698 1
3 98 1 2 12 1 2227 1
3 99 2 1 8 2 2926 1
3 100 2 2 16 2 4191 1
3 101 1 2 13 2 23251 1
3 102 1 2 1 2 4468 1
3 103 2 1 16 2 2655 1
3 104 1 1 11 1 2022 1
3 105 1 1 4 2 2856 1
3 106 1 1 8 1 3180 1
3 107 2 1 6 2 5368 1
3 108 1 1 9 2 3426 1
3 109 1 1 18 1 3874 1
3 110 2 1 14 1 2069 1
3 111 1 1 16 2 4735 1
3 112 2 1 4 2 1564 1
3 113 2 1 20 1 4124 1
3 114 2 2 11 2 2149 1
3 115 1 1 7 1 2741 1
3 116 2 2 19 1 4548 1
3 117 2 2 6 1 1833 1
3 118 2 1 5 1 2786 1
3 119 1 1 14 1 4099 1
3 120 1 2 18 2 5462 1
3 121 1 2 20 1 3600 1
3 122 2 1 1 2 1344 1
3 123 2 2 11 1 2228 1
3 124 1 1 3 2 4010 1
3 125 1 2 6 2 2241 1
3 126 1 2 4 1 2247 1
3 127 2 1 18 2 3238 1
3 128 2 2 6 2 4870 1
3 129 2 2 13 1 3428 1
3 130 1 1 13 2 2295 1
3 131 2 2 1 2 6234 1
3 132 1 2 9 1 1882 1
3 133 2 2 16 1 1972 1
3 134 2 2 14 2 1613 1
3 135 2 1 3 2 3473 1
3 136 1 1 17 1 4785 1
3 137 1 1 12 2 1835 1
3 138 2 2 4 2 1145 1
3 139 1 2 10 2 1884 1
3 140 1 1 2 2 1157 1
3 141 2 2 15 2 3648 1
3 142 2 1 11 2 2930 1
3 143 2 2 7 2 1572 1
3 144 1 2 15 1 4786 1
3 145 1 1 18 2 4178 1
3 146 2 1 10 2 4423 1
3 147 1 1 5 2 8175 1
3 148 2 1 19 2 3201 1
3 149 1 2 7 1 3693 1
3 150 1 1 16 1 6223 1
3 151 1 1 17 2 7092 1
3 152 2 1 13 1 1832 1
3 153 2 1 3 1 3920 1
3 154 2 2 3 2 1650 1
3 155 1 1 11 2 1967 1
3 156 1 2 20 2 2467 1
3 157 1 2 10 1 1787 1
3 158 1 2 2 2 5731 1
3 159 1 1 14 2 3600 1
3 160 1 2 7 2 2430 1
3 161 1 1 15 1 5047 1
8 1 1 2 12 1 5458 1
8 2 1 2 11 1 3869 1
8 3 1 2 3 2 1029 1
8 4 1 1 5 2 4325 1
8 5 2 1 4 2 1832 1
8 6 2 2 4 1 2468 1
8 7 2 1 7 2 2296 1
8 8 1 2 12 2 2789 1
8 9 1 2 4 2 1480 1
8 10 1 2 13 1 3156 1
8 11 1 2 11 2 2932 1
8 12 2 2 2 2 4277 1
